date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:12	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Apr%202023%2012:26:10%20GMT	https://sui-community.com/robots.txt		(from )
14:26:12	27275/27275	---M--	200	added ('OK')	text/html	etag:W/%226a8b-18754a1c2a0%22	https://sui-community.com/	C:/My%20Web%20Sites/drainer%20dev/sui-community.com/index.html	(from )
14:26:13	164/164	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Apr%202023%2012:26:12%20GMT	https://sui-community.com/sui.io/img/sui-social.jpg	C:/My%20Web%20Sites/drainer%20dev/sui-community.com/sui.io/img/sui-social.0.delayed	(from https://sui-community.com/)
14:26:14	150/150	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Apr%202023%2012:26:13%20GMT	https://sui-community.com/favicon.png	C:/My%20Web%20Sites/drainer%20dev/sui-community.com/favicon.1.delayed	(from https://sui-community.com/)
14:26:15	315/315	---M--	200	added ('OK')	text/html	etag:W/%2213b-1874fc92110%22	https://sui-community.com/_nuxt/0575fef.html	C:/My%20Web%20Sites/drainer%20dev/sui-community.com/_nuxt/0575fef.html	(from https://sui-community.com/)
14:26:16	315/315	---M--	200	added ('OK')	text/html	etag:W/%2213b-1874fc92110%22	https://sui-community.com/_nuxt/690ad68.html	C:/My%20Web%20Sites/drainer%20dev/sui-community.com/_nuxt/690ad68.html	(from https://sui-community.com/)
14:26:17	251/251	---M--	200	added ('OK')	text/css	etag:W/%22fb-1872a88b8c0%22	https://sui-community.com/_nuxt/css/a03621a.css	C:/My%20Web%20Sites/drainer%20dev/sui-community.com/_nuxt/css/a03621a.css	(from https://sui-community.com/)
14:26:18	315/315	---M--	200	added ('OK')	text/html	etag:W/%2213b-1874fc92110%22	https://sui-community.com/_nuxt/f080702.html	C:/My%20Web%20Sites/drainer%20dev/sui-community.com/_nuxt/f080702.html	(from https://sui-community.com/)
14:26:20	301822/301822	---M--	200	added ('OK')	text/css	etag:W/%2249afe-1872a88b8c0%22	https://sui-community.com/_nuxt/css/85276c9.css	C:/My%20Web%20Sites/drainer%20dev/sui-community.com/_nuxt/css/85276c9.css	(from https://sui-community.com/)
14:26:20	315/315	---M--	200	added ('OK')	text/html	etag:W/%2213b-1874fc93880%22	https://sui-community.com/_nuxt/5473dee.html	C:/My%20Web%20Sites/drainer%20dev/sui-community.com/_nuxt/5473dee.html	(from https://sui-community.com/)
