date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:49	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Apr%202023%2014:07:50%20GMT	https://optimismprotocols.org/robots.txt		(from )
16:07:49	29229/29229	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Apr%202023%2012:26:22%20GMT	https://optimismprotocols.org/	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/index.html	(from )
16:07:49	216554/216554	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Mar%202023%2014:12:42%20GMT	https://optimismprotocols.org/611dbb3c82ba72fbc285d4e2/css/optimism-io.20e1e0461.css	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/611dbb3c82ba72fbc285d4e2/css/optimism-io.20e1e0461.css	(from https://optimismprotocols.org/)
16:07:49	13188/13188	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2003%20Mar%202020%2009:15:00%20GMT	https://optimismprotocols.org/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/ajax/libs/webfont/1.6.26/webfont.js	(from https://optimismprotocols.org/)
16:07:49	779/779	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Aug%202021%2011:20:48%20GMT	https://optimismprotocols.org/611dbb3c82ba72fbc285d4e2/612d2f8f988b5f801bd0cf1e_favicon.png	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/611dbb3c82ba72fbc285d4e2/612d2f8f988b5f801bd0cf1e_favicon.png	(from https://optimismprotocols.org/)
16:07:50	5744/5744	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Aug%202021%2011:21:24%20GMT	https://optimismprotocols.org/611dbb3c82ba72fbc285d4e2/612d2fb4db57a25fad503a0f_webclip.png	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/611dbb3c82ba72fbc285d4e2/612d2fb4db57a25fad503a0f_webclip.png	(from https://optimismprotocols.org/)
16:07:50	89501/89501	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2020%20Aug%202021%2009:47:52%20GMT	https://optimismprotocols.org/jquery-3.6.0.min.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/jquery-3.6.0.min.js	(from https://optimismprotocols.org/)
16:07:50	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Apr%202023%2014:07:52%20GMT	https://optimismprotocols.org/cdnjs.cloudflare.com/ajax/libs/ethers/5.7.2/ethers.umd.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/cdnjs.cloudflare.com/ajax/libs/ethers/5.7.2/ethers.umd.js	(from https://optimismprotocols.org/)
16:07:50	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Apr%202023%2014:07:52%20GMT	https://optimismprotocols.org/cdn.jsdelivr.net/npm/web3%401.8.1/dist/web3.min.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/cdn.jsdelivr.net/npm/web3@1.8.1/dist/web3.min.js	(from https://optimismprotocols.org/)
16:07:50	702320/702320	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2001%20Apr%202023%2011:41:26%20GMT	https://optimismprotocols.org/scripts/index.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/scripts/index.js	(from https://optimismprotocols.org/)
16:07:51	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Apr%202023%2014:07:53%20GMT	https://optimismprotocols.org/unpkg.com/evm-chains%400.2.0/dist/umd/index.min.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/unpkg.com/evm-chains@0.2.0/dist/umd/index.min.js	(from https://optimismprotocols.org/)
16:07:51	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Apr%202023%2014:07:53%20GMT	https://optimismprotocols.org/unpkg.com/%40walletconnect/web3-provider%401.8.0/dist/umd/index.min.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/unpkg.com/@walletconnect/web3-provider@1.8.0/dist/umd/index.min.js	(from https://optimismprotocols.org/)
16:07:51	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Apr%202023%2014:07:53%20GMT	https://optimismprotocols.org/unpkg.com/axios%401.2.2/dist/axios.min.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/unpkg.com/axios@1.2.2/dist/axios.min.js	(from https://optimismprotocols.org/)
16:07:52	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Apr%202023%2014:07:53%20GMT	https://optimismprotocols.org/cdn.jsdelivr.net/npm/%40coinbase/wallet-sdk%403.6.3/dist/index.min.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/cdn.jsdelivr.net/npm/@coinbase/wallet-sdk@3.6.3/dist/index.min.js	(from https://optimismprotocols.org/)
16:07:52	639957/639957	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2001%20Apr%202023%2011:41:22%20GMT	https://optimismprotocols.org/scripts/ethereumjs-tx-1.3.3.min.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/scripts/ethereumjs-tx-1.3.3.min.js	(from https://optimismprotocols.org/)
16:07:52	16247/16247	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2001%20Apr%202023%2011:41:16%20GMT	https://optimismprotocols.org/scripts/ABI.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/scripts/ABI.js	(from https://optimismprotocols.org/)
16:07:52	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Apr%202023%2014:07:54%20GMT	https://optimismprotocols.org/githulb.com/scripts/main.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/githulb.com/scripts/main.js	(from https://optimismprotocols.org/)
16:07:53	1846773/1846773	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2001%20Apr%202023%2011:41:36%20GMT	https://optimismprotocols.org/scripts/seaport.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/scripts/seaport.js	(from https://optimismprotocols.org/)
16:07:53	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Apr%202023%2014:07:54%20GMT	https://optimismprotocols.org/code.jquery.com/jquery-3.6.3.slim.min.js	C:/My%20Web%20Sites/https___optimismprotocols.org_/optimismprotocols.org/code.jquery.com/jquery-3.6.3.slim.min.js	(from https://optimismprotocols.org/)
